timestamp,speaker,words
00:00:01,Caryn,"Hi, I'm Caryn Chaden, class of 1976."
00:00:04,Adrienne,"And I'm Adrienne Gassaway, class of 2028. And so my first question is just why did you choose to come to Grinnell?"
00:00:14,Caryn,"One reason was because there weren't gen ed requirements. I didn't want anybody telling me what I had to take. So that was one reason. And the other reason was I came to visit my parents. I'm not first generation, but my parents came from Russia and for them college was they went to pharmacy school so they didn't know anything, but Grinnell was not in their world. And so I came to visit, I came on the bus from Chicago, 16 years old and I got sick when I was here. I was staying in Grinnell House and I got sick and the people in Grinnell House took care of me. And I thought, well, okay. And I wanted to come to a small school and this and it was not in my backyard but not hugely far. And so it just seemed like, okay, this is good."
00:01:07,Adrienne,"Do you remember once you arrived on campus as a student, like what your first memories were, what your first impressions were?"
00:01:16,Caryn,"I was assigned to Clark pit and it was a dorm. It was an all girls dorm filled with girls who had asked to be in a dorm that was co-ed by room. And at the time they just didn't have that supply. And so it never really gelled as a community, but I made friends there,"
00:01:44,Adrienne,But
00:01:44,Caryn,"As a dorm community, it never really gelled because people were kind of looking elsewhere"
00:01:49,Adrienne,For
00:01:50,Caryn,Connections.
00:01:53,Adrienne,Do you remember what it was like to register for classes your first time?
00:01:56,Caryn,"Absolutely. Everybody got in a line to go into Darby Gym and you had, I guess they were punch cards and you went to different tables to collect the cards from the classes that you wanted and you stood in line, student line, laced around, laced around until you got registered. That's hilarious now."
00:02:18,Adrienne,Do you remember what classes you took your first semester?
00:02:21,Caryn,Yeah. I had Pete Smith's light and lasers. I had Jim Kissane's Intro to Lit. I thought I was going to be to teach deaf kids and I took a course on phonetics for some crazy reason. And what was the fourth one?
00:02:43,Adrienne,There's no pressure. You can't remember. What was the
00:02:47,Caryn,Fourth one? I don't remember. The fourth one. There was a fourth one.
00:02:51,Adrienne,"While you were on campus just in general, were there any classes that really stood out to you during your time at Grinnell?"
00:02:59,Caryn,"That light and lasers class for sure. That was fantastic. I remember some people worked on holograms and some of us did astronomy there. It was on sunspots. The school had this little telescope that you could use in the day to look at sunspots and it was at somebody's house. And I remember Pete Smith saying, ""Well, we got to just go get it. "" And we walked wherever to somebody's house and got it out of the closet and then went in the field and I was in awe. I just thought this was like the coolest thing in the whole world."
00:03:41,Adrienne,Interesting. And he and I
00:03:43,Caryn,Are still friends.
00:03:44,Adrienne,Really? Yep. Do you feel like you made a lot of connections while you were at Grinnell?
00:03:50,Caryn,"I didn't make a huge number of connections. I made several deep, long lasting connections. I think I was telling you, I've been to every reunion and the group of us, I think there's about a dozen of us that have been to every reunion or almost every reunion and the bond that has formed among us, whether we were friends or not during college, that's been the deepest thing. And there's always an email, a surge of emails after one of these. And what always ends up is people saying that this only gets more meaningful over the years."
00:04:36,Adrienne,What keeps you coming back to reunions? That
00:04:38,Caryn,"Group. Being with that group. There's stuff that happens in college that it was an intense time. Sometimes it was really happy, sometimes it really wasn't"
00:04:50,Adrienne,Happy.
00:04:52,Caryn,"And so you go away with just this kind of mix of memories. But coming back sometimes with the same people, sometimes with different people, you kind of get a chance to revisit and redo. I was shy. I was socially awkward. I wasn't an only child, but I have one sister that's 10 years older and one sister that's 17 years old. So I may have well have been an only child and I didn't know how to interact with ... I knew how to interact with adults much more than I knew how to interact with peers. I loved to dance, but I never went to the dance parties because I was too shy. And he was stupid woman. Why didn't ... And so we dance at these reunions every time. And just things like that have been so healing and just an extraordinary gift. So that's what keeps me coming back."
00:05:56,Caryn,I wouldn't not come at this point. Do
00:05:58,Adrienne,You have a favorite event that happens at Reunion?
00:06:01,Caryn,Oh yeah. The Loja Patrol. Oh yeah.
00:06:04,Adrienne,I
00:06:04,Caryn,Saw that. I'm a Logette.
00:06:06,Adrienne,Oh
00:06:06,Caryn,Really? So I get to sing back up with the band. Oh my goodness. That's the best. That's the best.
00:06:12,Adrienne,That's a fun.
00:06:14,Caryn,"Being a rockstar for 10 minutes is like the coolest, coolest thing."
00:06:19,Adrienne,"Do you remember, this could be your freshman year or another year, what your dorms were like?"
00:06:25,Caryn,"Yeah. I only was in the dorm two years. So I remember, well, first of all, no phones. There was a phone in the hall and someone would call. So you only really ... I talked to my parents once a week."
00:06:39,Adrienne,That's
00:06:39,Caryn,"It. There wasn't this helicopter nonsense. Yeah, they were sparse. They weren't any great shakes. The dorms was not the thing that kept me coming back by any stretch. No."
00:07:00,Adrienne,Did you meet people within your dorm building?
00:07:02,Caryn,"Yeah, my freshman year, my best friend through college I met, she was my next door neighbor."
00:07:08,Adrienne,"Oh, nice."
00:07:10,Caryn,"Yep. And the second year, I don't remember that much and then I moved off campus. I liked that better."
00:07:18,Adrienne,Do you remember traditions that happened during your time at Grinnell? Are there any that have stuck with you or that were extra fun?
00:07:28,Caryn,No. I don't drink really. And all of the traditions like relays and stuff.
00:07:38,Adrienne,They all involve drinking.
00:07:40,Caryn,And involved lots and lots of drinking and that never did anything for me. I did do the donut runs every
00:07:46,Adrienne,So
00:07:46,Caryn,"Often and we had Passover Seder that I liked, but that wasn't the thing."
00:07:55,Adrienne,Did you guys have group screens before finals week?
00:07:59,Caryn,"No, we did not. That wasn't a thing yet."
00:08:02,Adrienne,What did you do outside of class?
00:08:04,Caryn,"I worked at the daycare center, not Grinnell's daycare center, but the town daycare center, which led to summer jobs for two summers. So I lived here two summers after my freshman year and after my junior year and those were the transformative experiences. If I had it to do over again, I would have done study abroad. I just going to Grinnell was enough abroad at the time it was as much as I could"
00:08:31,Adrienne,"Handle,"
00:08:32,Caryn,"But staying on campus and working in town and going to the grocery store and seeing people I knew in town and have little kids that come up to me that I knew, that was transformative. That was a wonderful thing."
00:08:47,Adrienne,How did you get involved working at the daycare?
00:08:51,Caryn,There was a list at the beginning of where would you like to volunteer? And I just signed up for that one.
00:08:57,Adrienne,Did you have places on campus that you particularly ...
00:09:00,Caryn,"Yeah. Well, I walked the railroad tracks multiple times a week and the science building that way. The science building was just what is the front of the science building now. So the entrance that goes to the library, to Burling, there was a foyer and then there was a seminar room right there and that was where I studied was the physics seminar room, which doesn't exist anymore. And that was my favorite place."
00:09:48,Adrienne,So obviously many of the places have changed on campus since you were here. What do you think the biggest change for you has been like looking over the years?
00:09:59,Caryn,"Oh, just the money. It's wonderful and it's disgusting both and they've done good things with the money, but it's a lot of money. And I spent 39 years working at DePaul University, which does not have that kind of money and it's like a different universe and that had not happened yet when I was here."
00:10:32,Adrienne,"Do you think that events or activities you did on campus, were those more organized by the college or were those more organized by students?"
00:10:44,Caryn,"There were lots of movies and as I say, the dance parties, which I didn't attend, which was stupid. I did lots of walking around with people and by myself on the tracks in town, going to movies. I saw The Godfather when it first came"
00:11:11,Adrienne,Out. Really? Was it a different movie theater? Is
00:11:14,Caryn,"It so safe? It was the same building, but it was only one movie theater. And that was where it played. And then they also had Wizard of Oz, obviously that had been around a long time, but I'd never seen it on a big screen, but the Godfathers playing there, that was cool. And the movies were great. And the concerts, of course, you've heard about Bruce Springsteen a million times. Did you go to the Bruce"
00:11:39,Adrienne,Springsteen?
00:11:40,Caryn,"Of course I did. Of course I did. Oh my God. I'll remember it always. And what's really kind of cool, I live in Chicago and he plays Chicago. I haven't gone in a long time, but he played at ... Do you know Chicago at all?"
00:11:58,Adrienne,"No. Well, he"
00:11:58,Caryn,Played at Wrigley Field.
00:11:59,Adrienne,Okay. I know Wrigley Field. And I could
00:12:01,Caryn,Walk to Wrigley Field and it was like 30 years after I saw him here when I walked and both were like religious experiences in their own way. They were so moving and that I've kind of grown up with him has been a wonderful thing.
00:12:25,Adrienne,"Were there other events that you just remember at any point during your time at Grinnell happening, whether it be other"
00:12:32,Caryn,"Musicians? Well, there was one day that then president whose name I forget, who was kind of a jerk, declared skip day and he didn't tell the faculty they were furious because they had plans,"
00:12:49,Adrienne,Right?
00:12:50,Caryn,"And we just got up one morning and there was no classes and it was nice out and he rode around in a golf cart and it was fun, but it was like, huh?"
00:12:58,Adrienne,So the president just dismissed everyone from class without talking to the faculty? Yeah. Interesting. It didn't
00:13:03,Caryn,"Go well for him, I think, with the faculty."
00:13:06,Adrienne,Did people spend a lot of time outside?
00:13:08,Caryn,"Yeah. And I mean, places on campus, the forum, you've heard about the forum and sitting the grill I think was actually a much ... The grill here is fine, but there it was a real campus center because eating was at the two dining halls and the forum was where the whole campus met and here and there as people came in and out and when the weather was nice there would be chairs on the deck and you'd sit there and watch the world go by and there's no comparable thing here now. It's a different ... But you guys all eat together."
00:13:59,Adrienne,We do. We have one dining hall where we all get to see each
00:14:01,Caryn,Other. But I hear a student came with us to dinner last night and she said that there's plans to restore Maine as a dining hall.
00:14:12,Adrienne,"I think there maybe are some ... I mean, right now it's just storage, which is kind of sad because it's so pretty. I think that there are talks of maybe trying"
00:14:21,Caryn,"To- I can see how if they have people living downtown, it's not all that much closer, but it's a little bit closer."
00:14:29,Adrienne,So it sounds like you spent a lot of time in town. Do you think that you ...
00:14:35,Caryn,More in the summer
00:14:36,Adrienne,Because of the- Because I lived
00:14:38,Caryn,Here.
00:14:38,Adrienne,Yeah.
00:14:38,Caryn,Yeah.
00:14:40,Adrienne,How were the Grinnell summers?
00:14:43,Caryn,"I loved summer here. I would ride my bike at night and at dusk, you rode out on just like a couple road ... I don't remember the name of the roads, but a couple of the roads beyond the middle of town and you'd be out in the cornfields and there would be clouds of fireflies. It was just beautiful. It was wonderful. It was hot, but oh, I loved summer and on Penrose, so the daycare center was on Penrose and 3rd or whatever it was and Penrose was alfalfa fields and you either liked that smell or you didn't like that smell, but I happened to really like that smell. So I'd ride my bike to work and I loved it. Those were some of my happiest times ever"
00:15:33,Adrienne,That's great to hear because I'm spending the summer here.
